Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
Colombia,COL,Total fisheries production (metric tons),ER.FSH.PROD.MT,29800,43300,52000,47700,50300,53500,59200,86200,83600,57600,54500,37700,110700,105300,62418,66575,75109,63972,79590,63411,76224,94731,71442,57639,79289,71696.32,83645.48,86068.34,107932.34,209612.3,249741,226789,375931,606689.5,661921.5,996169,816611,644470,850938,951829,1031050,908237,722538,746891,784635,784088,1148859,861532,713853,592469,809300,811267,791404,1017800,924924,695083,546671,519872.5,571812.21,640958.95,558295.73,,
Comoros,COM,Total fisheries production (metric tons),ER.FSH.PROD.MT,817,817,917,917,917,917,875,875,1235,1235,1661,2469,2878,3286,4046,4755,4863,5620,6026,6485,6951,7459,7974,8493,8999,9515,9970,10378,10913,10751,11251,11551,12590,12757,13537,13109,12696,12576,12317,11818,12003,11425,11178,11053,10987,10738,10464,14401,22714,44745,63447,38180,36295.23,43732.61,9257.28,11789.68,20039.49,17438.13,13801.52,17599.95,20755.44,,
Cabo Verde,CPV,Total fisheries production (metric tons),ER.FSH.PROD.MT,1600,1600,1500,2000,2500,3500,4000,5900,4900,4000,5181,4153,4078,8333,3428,3900,3800,6000,7000,7476,8837,14730,12453,11863,10730,10190,7335,7312,6387,8614,6579.04,7378.1,6573,7000,8256,8495,9255,9705,9424,10360,10586,8676,8851,8136,11031,21931,19826,20127,21119,19213,21412,23077,20943,35984,35677,37742,27407,18617,26405,17093,19313.98,,
Costa Rica,CRI,Total fisheries production (metric tons),ER.FSH.PROD.MT,2200,2400,2500,2400,3600,3400,3300,3500,5000,4100,8100,10560,12550,12360,15554,16174,14201,15401,22655,20785,16453,16051,12625,11187,16575,20489,23057,17240,17069,17440,18943,18018,18254,19507,21044,24197,31321,33696,32597,37353,44871,44536,50937,50102,44708,45527,39157,45516,48464,44568.3,44755,41644.5,42332,48910,41511.5,38309.5,33988.61,33622.83,36377.57,39814.97,33663.82,,
Caribbean small states,CSS,Total fisheries production (metric tons),ER.FSH.PROD.MT,31823,38713,38563,36463,38023,41573,45093,46373,47763,50563,54161,52784,56924,59714,64070,65625,61528,75480,76607,72800,69698,69328.79,69709.04,86146.15,159597.07,241865.82,137092.9,131300.03,143960.66,103159.61,115439.18,118620.54,118050.54,120195.94,140100.02,138092.48,142802.15,162542.59,198635.69,223119,192052,217304,290438,249541,312338.5,304951.5,401950.74,526563.99,576865.13,531135.67,656993.24,555460.8,376553.1,272354.78,389862.88,377445.49,322088.52,404253.27,364692.33,336763.66,304600.95,,
Cuba,CUB,Total fisheries production (metric tons),ER.FSH.PROD.MT,31200,30600,35000,35612,37165,41080,43826,65975,66250,78919,104500,127110,139711,150387,164629,144053,194490,184759,213176,153701,186450,164834,195296,198494,199858.3,219862.9,244558.3,214773.6,231091.1,191882.9,188067.8,171061.6,111943.8,97708.3,93974.4,102441.2,120902.8,113674.5,98349.1,100814.1,101268,80280,59631,60985,59757,50870,54797,67011,65400,64894,55418,48703.8,48499.2,51680.7,56338.6,57690,52759,52758,51249,45650.7,46386.2,,
Curacao,CUW,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22074,25071.89,26196.68,28495.27,30159.19,35534.66,32626.13,37911.03,29213.84,23049.82,,
Cayman Islands,CYM,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,,,,,,,,,,,,,500,1391,3992,933,655,423,396,478,1097,386,615,837,586,825,445,125,125,110,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,,
Cyprus,CYP,Total fisheries production (metric tons),ER.FSH.PROD.MT,500,400,600,600,600,1006,1009,1014,1412,1409,1363,1255,1340,1459,1221,950,1083,1220,1276,1314,1339,1462,1591,1988.77,2266,2438,2598.39,2593,2563,2625,2709,3048,9491,10275,9718,9772,13313,25788,20482,41060,70223,56606,142941,49561,82269,64933,33547,5646,5399,5107.5,5548.8,5854.98,5656.71,6522.1,6102.34,6946.54,8120.86,9031.11,8837.04,9579.32,8608.41,,
Czech Republic,CZE,Total fisheries production (metric tons),ER.FSH.PROD.MT,9158,10426,10415,10089,11074,11698,12218,12474,14342,14630,13995,14825,16380,16388,16800,18053,18425,19011,18042,17668,16810,17671,19084,20486,23188,23813,25534,25253,25637,25232,26630,26346,28485,23427,22610,22608,21724,20881,21183,22965,24129,24744,24193,24797,23912,24697,25077,24723,24559,24183,24410,24869,24796,23118.4,23947,24041,24459,25242,25401,24707,24130,,
Germany,DEU,Total fisheries production (metric tons),ER.FSH.PROD.MT,787910,748670,782420,837580,850030,864690,881650,951500,986660,970714,939498,846312,761507,850953,897600,828055,744507,655548,625086,590774,562566,585026,551637,544751,553756,426457,415388,399734,393112,412656,390760,310623,313553,322522,279031,303993,319662,324789,339112,317424,269980,262559,271632,331937,315581,326057,328425,335532,318266,282962,283844,273029,240768,260405,268775,291653,313001,284216,313409,265164.8,244368.66,,
